Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Customer_Profile,Cluster
2023/06/07 11:10:09 PM GMT+5:30,19,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Filter,First page,2.0,Yes,Often,Changed my mind or no longer need the item,Never,Yes,4,Sometimes,1,3.0,2.0,Customer service ,Shipping speed and reliability,694908,At-Risk Customer,1
2023/06/11 11:16:58 PM GMT+5:30,42,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,2.0,No,Often,High shipping costs,Never,Yes,4,Yes,1,5.0,5.0,All the above,User interface of app,446445,Frequent Buyer,0
2023/06/09 3:24:36 PM GMT+5:30,46,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,2.0,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,4,Yes,1,3.0,2.0,All the above,Add more familiar brands to the list,697231,At-Risk Customer,1
2023/06/06 6:32:00 PM GMT+5:30,30,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,Filter,Multiple pages,2.0,Yes,Never,others,Sometimes,Yes,4,Sometimes,0,3.0,1.0,All the above,No problems with Amazon,801367,At-Risk Customer,1
2023/06/07 11:41:56 AM GMT+5:30,62,Others,Multiple times a week,Clothing and Fashion,Yes,Rarely,Categories,First page,2.0,Maybe,Never,others,Always,Yes,3,No,2,4.0,3.0,Customer service ,Nothing,564030,Regular Customer,1
2023/06/06 6:46:21 PM GMT+5:30,63,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Categories,First page,5.0,Yes,Sometimes,others,Rarely,Yes,1,No,2,5.0,5.0,Competitive prices,I don't have any problem with Amazon,358023,Frequent Buyer,0
2023/06/08 10:54:00 AM GMT+5:30,32,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Others,First page,1.0,Yes,Often,Found a better price elsewhere,Never,Yes,0,Sometimes,1,2.0,5.0,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,132588,Regular Customer,0
2023/06/06 7:11:13 PM GMT+5:30,24,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5.0,No,Often,Changed my mind or no longer need the item,Always,No,1,No,0,2.0,4.0,All the above,Reducing packaging waste,374922,Regular Customer,0
2023/06/06 7:46:27 PM GMT+5:30,25,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Others,First page,3.0,No,Sometimes,Found a better price elsewhere,Never,No,3,No,0,1.0,1.0,Customer service,.,302093,At-Risk Customer,2
2023/06/09 10:26:51 AM GMT+5:30,55,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Keyword,First page,3.0,Yes,Never,High shipping costs,Never,Yes,4,No,2,5.0,5.0,Wide product selection,User interface ,761675,Occasional Shopper,0
2023/06/06 6:35:33 PM GMT+5:30,57,Others,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,5.0,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,3,Yes,1,2.0,4.0,All the above,User interface of app,231994,Regular Customer,0
2023/06/05 10:37:36 AM GMT+5:30,53,Prefer not to say,Once a week,Groceries and Gourmet Food,Yes,Few times a month,Keyword,First page,4.0,Yes,Always,Changed my mind or no longer need the item,Always,No,0,Yes,2,1.0,4.0,Competitive prices,Customer service responsiveness,226503,Frequent Buyer,0
2023/06/11 11:20:57 PM GMT+5:30,60,Others,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,5.0,No,Rarely,High shipping costs,Always,No,0,No,2,4.0,4.0,Product recommendations,Scrolling option would be much better than going to next page,275815,Frequent Buyer,0
2023/06/07 9:23:39 PM GMT+5:30,3,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,3.0,Yes,Never,Changed my mind or no longer need the item,Often,No,1,No,2,3.0,5.0,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,829085,Frequent Buyer,0
2023/06/09 3:25:33 PM GMT+5:30,57,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,Others,Multiple pages,5.0,No,Rarely,Found a better price elsewhere,Never,No,4,Sometimes,0,4.0,4.0,User-friendly website/app interface,Nothing,133228,Regular Customer,0
2023/06/12 3:33:53 PM GMT+5:30,26,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Categories,Multiple pages,2.0,No,Rarely,Found a better price elsewhere,Never,Yes,3,Yes,1,4.0,5.0,Customer service ,No problems with Amazon,608989,Frequent Buyer,0
2023/06/06 8:01:47 PM GMT+5:30,21,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,Categories,First page,5.0,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,3,No,2,1.0,1.0,Competitive prices,Shipping speed and reliability,603175,At-Risk Customer,2
2023/06/07 10:16:22 PM GMT+5:30,6,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,Filter,Multiple pages,3.0,No,Always,Changed my mind or no longer need the item,Always,Yes,2,No,1,5.0,3.0,Product recommendations,Nothing,745429,Regular Customer,1
2023/06/04 8:52:49 PM GMT+5:30,59,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1.0,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,1,Yes,1,2.0,2.0,Customer service ,Nil,479687,At-Risk Customer,2
2023/06/07 9:32:38 AM GMT+5:30,48,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,3.0,No,Often,Changed my mind or no longer need the item,Never,Yes,3,Sometimes,0,3.0,1.0,.,Product quality and accuracy,413270,At-Risk Customer,1
2023/06/08 10:38:51 PM GMT+5:30,52,Others,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,2.0,Yes,Never,Found a better price elsewhere,Never,No,1,Sometimes,1,5.0,4.0,Competitive prices,User interface ,654030,Regular Customer,1
2023/06/06 10:03:52 AM GMT+5:30,32,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a week,Others,Multiple pages,4.0,No,Sometimes,Found a better price elsewhere,Often,Yes,1,Yes,1,4.0,2.0,Product recommendations,Shipping speed and reliability,181555,At-Risk Customer,1
2023/06/07 1:49:06 PM GMT+5:30,11,Others,Once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Others,First page,2.0,No,Never,High shipping costs,Sometimes,Yes,2,Yes,0,4.0,5.0,.,Shipping speed and reliability,437420,Occasional Shopper,0
2023/06/06 7:02:21 PM GMT+5:30,19,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Categories,Multiple pages,5.0,No,Never,others,Often,No,0,Sometimes,2,3.0,1.0,Customer service ,Reducing packaging waste,349389,At-Risk Customer,1
2023/06/09 10:28:23 AM GMT+5:30,31,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Keyword,Multiple pages,2.0,Maybe,Often,High shipping costs,Often,Yes,4,No,0,4.0,1.0,Customer service ,Nothing,183459,At-Risk Customer,1
2023/06/06 7:54:19 PM GMT+5:30,8,Female,Once a month,Clothing and Fashion;others,Sometimes,Rarely,Keyword,First page,4.0,Yes,Often,High shipping costs,Never,No,3,No,0,5.0,1.0,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,164965,At-Risk Customer,1
2023/06/05 2:25:28 PM GMT+5:30,23,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,2.0,Yes,Rarely,others,Rarely,No,0,Sometimes,0,3.0,4.0,Product recommendations,better app interface and lower shipping charges,321484,Regular Customer,0
2023/06/08 5:37:13 PM GMT+5:30,47,Female,Once a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,Multiple pages,5.0,No,Rarely,High shipping costs,Often,Yes,4,Sometimes,1,4.0,3.0,All the above,Customer service responsiveness,545338,Regular Customer,1
2023/06/09 4:33:19 PM GMT+5:30,42,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Others,Multiple pages,3.0,No,Sometimes,Found a better price elsewhere,Often,Yes,1,Sometimes,1,2.0,1.0,Quick delivery,User interface of app,763673,At-Risk Customer,2
2023/06/05 1:27:08 PM GMT+5:30,28,Prefer not to say,Once a month,Beauty and Personal Care;others,Yes,Few times a week,Keyword,First page,1.0,Maybe,Sometimes,Changed my mind or no longer need the item,Always,No,1,Yes,2,5.0,3.0,Competitive prices,Customer service responsiveness,664194,Occasional Shopper,1
2023/06/12 3:53:28 PM GMT+5:30,66,Others,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,4.0,No,Rarely,others,Sometimes,No,2,Sometimes,2,1.0,3.0,Quick delivery,I don't have any problem with Amazon,669267,Occasional Shopper,2
2023/06/06 11:28:31 PM GMT+5:30,64,Prefer not to say,Less than once a month,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5.0,Yes,Never,Changed my mind or no longer need the item,Always,Yes,4,Sometimes,2,2.0,5.0,Customer service ,User interface ,119098,Regular Customer,0
2023/06/09 10:58:44 AM GMT+5:30,20,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple times a day,Filter,First page,4.0,No,Never,High shipping costs,Rarely,Yes,2,Yes,1,4.0,1.0,Wide product selection,I don't have any problem with Amazon,780550,At-Risk Customer,1
2023/06/04 7:48:31 PM GMT+5:30,61,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Categories,First page,1.0,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,2,Sometimes,1,4.0,1.0,Customer service,Irrelevant product suggestions,346711,At-Risk Customer,1
2023/06/08 5:38:01 PM GMT+5:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Others,Multiple pages,1.0,Yes,Always,Found a better price elsewhere,Sometimes,No,0,Sometimes,0,5.0,1.0,Customer service ,Reducing packaging waste,956927,At-Risk Customer,1
2023/06/08 7:50:55 PM GMT+5:30,42,Others,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,2.0,No,Rarely,Found a better price elsewhere,Often,No,0,Sometimes,2,1.0,4.0,Competitive prices,Customer service responsiveness,170329,Regular Customer,0
2023/06/09 3:19:53 PM GMT+5:30,66,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Categories,Multiple pages,3.0,Yes,Rarely,High shipping costs,Often,Yes,4,No,1,3.0,2.0,Customer service,Customer service responsiveness,140986,At-Risk Customer,1
2023/06/09 3:25:33 PM GMT+5:30,28,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,Others,First page,1.0,Maybe,Often,others,Often,Yes,1,Yes,0,3.0,3.0,Wide product selection,User interface ,913747,Regular Customer,2
2023/06/07 2:22:14 PM GMT+5:30,10,Others,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Categories,Multiple pages,3.0,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,0,No,2,1.0,5.0,Product recommendations,Scrolling option would be much better than going to next page,253645,Regular Customer,0
2023/06/10 2:40:34 PM GMT+5:30,52,Female,Less than once a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,3.0,Yes,Never,High shipping costs,Sometimes,Yes,3,Sometimes,1,4.0,2.0,Product recommendations,Scrolling option would be much better than going to next page,362496,At-Risk Customer,1
2023/06/11 10:43:19 PM GMT+5:30,20,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,3.0,Yes,Always,High shipping costs,Sometimes,No,2,No,2,2.0,4.0,Customer service ,better app interface and lower shipping charges,430412,Occasional Shopper,0
2023/06/04 8:20:42 PM GMT+5:30,29,Others,Once a week,Groceries and Gourmet Food,Yes,Few times a week,Categories,Multiple pages,1.0,Yes,Never,Found a better price elsewhere,Always,Yes,0,Yes,2,1.0,5.0,User-friendly website/app interface,No problems with Amazon,449371,Frequent Buyer,0
2023/06/06 7:15:48 PM GMT+5:30,59,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,Others,First page,3.0,No,Often,Changed my mind or no longer need the item,Rarely,Yes,4,No,0,1.0,4.0,Customer service,User interface of app,266497,Regular Customer,0
2023/06/08 5:32:12 PM GMT+5:30,61,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,Others,First page,3.0,No,Rarely,High shipping costs,Rarely,No,2,No,2,4.0,2.0,Wide product selection,Irrelevant product suggestions,266430,At-Risk Customer,1
2023/06/09 2:39:47 PM GMT+5:30,42,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Keyword,Multiple pages,1.0,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,4,Sometimes,1,3.0,1.0,Competitive prices,Nil,168659,At-Risk Customer,1
2023/06/05 10:04:32 PM GMT+5:30,24,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,2.0,Maybe,Rarely,Found a better price elsewhere,Always,Yes,4,Yes,2,4.0,4.0,.,Reducing packaging waste,180627,Regular Customer,0
2023/06/05 10:36:38 AM GMT+5:30,38,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Categories,First page,3.0,Yes,Always,Found a better price elsewhere,Never,Yes,2,Yes,0,1.0,4.0,Product recommendations,Nil,996592,Regular Customer,0
2023/06/07 9:19:23 AM GMT+5:30,19,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Keyword,Multiple pages,3.0,Maybe,Sometimes,others,Rarely,Yes,4,Sometimes,1,1.0,3.0,Quick delivery,Product quality and accuracy,115397,Regular Customer,2
2023/06/04 11:24:41 PM GMT+5:30,60,Others,Multiple times a week,Groceries and Gourmet Food,Yes,Rarely,Categories,First page,5.0,Yes,Often,High shipping costs,Always,No,2,No,1,1.0,3.0,Customer service ,Nothing,501390,Regular Customer,2
2023/06/09 10:59:38 AM GMT+5:30,51,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Categories,First page,5.0,Yes,Often,High shipping costs,Rarely,No,2,No,1,1.0,2.0,Customer service ,Product quality and accuracy,864801,At-Risk Customer,2
2023/06/05 10:07:33 PM GMT+5:30,3,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Categories,First page,5.0,No,Never,others,Never,No,2,No,1,5.0,2.0,User-friendly website/app interface,Add more familiar brands to the list,118694,At-Risk Customer,1
2023/06/06 8:08:19 PM GMT+5:30,60,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,5.0,Maybe,Rarely,High shipping costs,Never,No,2,Yes,1,5.0,5.0,Product recommendations,I don't have any problem with Amazon,352850,Regular Customer,0
2023/06/05 9:56:08 PM GMT+5:30,39,Male,Few times a month,others,Yes,Rarely,Filter,First page,2.0,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,3,Yes,0,2.0,4.0,Customer service ,Customer service responsiveness,331480,Regular Customer,0
2023/06/12 2:44:47 PM GMT+5:30,63,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Categories,Multiple pages,5.0,Maybe,Always,Found a better price elsewhere,Never,No,2,Yes,0,4.0,1.0,Customer service,better app interface and lower shipping charges,372239,At-Risk Customer,1
2023/06/08 3:26:38 AM GMT+5:30,67,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Keyword,First page,3.0,No,Sometimes,Changed my mind or no longer need the item,Always,Yes,0,No,0,5.0,1.0,Product recommendations,better app interface and lower shipping charges,715619,At-Risk Customer,1
2023/06/11 11:21:30 PM GMT+5:30,6,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,3.0,Yes,Never,others,Always,Yes,3,No,0,1.0,4.0,Customer service ,Add more familiar brands to the list,135079,Regular Customer,0
2023/06/06 7:10:55 PM GMT+5:30,36,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Others,Multiple pages,5.0,Maybe,Rarely,Found a better price elsewhere,Rarely,Yes,0,No,2,4.0,5.0,User-friendly website/app interface,UI,256914,Regular Customer,0
2023/06/07 10:21:00 PM GMT+5:30,64,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,First page,1.0,Maybe,Always,Changed my mind or no longer need the item,Often,Yes,2,Yes,0,5.0,5.0,All the above,better app interface and lower shipping charges,278249,Frequent Buyer,0
2023/06/05 2:56:10 AM GMT+5:30,14,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,5.0,No,Sometimes,High shipping costs,Always,Yes,0,No,2,3.0,2.0,Competitive prices,Customer service responsiveness,646848,At-Risk Customer,1
2023/06/12 2:49:47 PM GMT+5:30,41,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,4.0,Yes,Never,High shipping costs,Sometimes,No,2,Yes,1,5.0,2.0,.,.,559785,At-Risk Customer,1
2023/06/06 4:25:49 PM GMT+5:30,11,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,Others,Multiple pages,1.0,No,Rarely,others,Often,No,0,Yes,1,1.0,5.0,User-friendly website/app interface,Customer service responsiveness,958892,Occasional Shopper,0
2023/06/08 3:33:39 AM GMT+5:30,66,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Others,Multiple pages,2.0,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,3,Sometimes,2,5.0,3.0,Customer service ,User interface of app,177417,Regular Customer,1
2023/06/07 1:33:51 PM GMT+5:30,11,Others,Few times a month,Home and Kitchen;others,Yes,Rarely,Keyword,First page,3.0,Yes,Often,others,Always,No,1,No,0,5.0,4.0,Product recommendations,No problems with Amazon,595926,Regular Customer,1
2023/06/04 9:48:15 PM GMT+5:30,51,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,First page,2.0,No,Rarely,Found a better price elsewhere,Never,No,3,Sometimes,0,2.0,4.0,User-friendly website/app interface,Reducing packaging waste,687455,Regular Customer,0
2023/06/06 6:37:26 PM GMT+5:30,37,Male,Less than once a month,Beauty and Personal Care;others,Yes,Few times a week,Keyword,Multiple pages,2.0,No,Never,High shipping costs,Rarely,Yes,4,Sometimes,0,4.0,3.0,Customer service ,.,926589,Regular Customer,1
2023/06/08 5:46:49 PM GMT+5:30,3,Others,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Categories,First page,3.0,Yes,Never,Found a better price elsewhere,Rarely,Yes,4,Sometimes,1,3.0,1.0,Customer service,Customer service responsiveness,544536,At-Risk Customer,1
2023/06/06 6:41:11 PM GMT+5:30,62,Others,Once a week,Home and Kitchen,Sometimes,Few times a month,Keyword,First page,1.0,Yes,Always,High shipping costs,Never,Yes,3,Sometimes,0,2.0,3.0,All the above,Irrelevant product suggestions,729354,Regular Customer,2
2023/06/06 11:28:31 PM GMT+5:30,30,Male,Multiple times a week,Clothing and Fashion;others,No,Few times a month,Keyword,First page,4.0,Yes,Sometimes,others,Rarely,Yes,0,Yes,0,2.0,4.0,Product recommendations,Irrelevant product suggestions,142138,Regular Customer,0
2023/06/09 9:34:07 AM GMT+5:30,24,Prefer not to say,Multiple times a week,Clothing and Fashion;others,Yes,Few times a month,Categories,Multiple pages,2.0,No,Never,High shipping costs,Sometimes,No,2,Sometimes,2,1.0,4.0,Customer service ,I don't have any problem with Amazon,858515,Regular Customer,0
2023/06/07 2:33:56 PM GMT+5:30,66,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Categories,Multiple pages,3.0,No,Rarely,Found a better price elsewhere,Often,No,3,Yes,2,3.0,3.0,User-friendly website/app interface,Customer service responsiveness,224855,Regular Customer,2
2023/06/09 10:58:13 AM GMT+5:30,49,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Categories,Multiple pages,1.0,Maybe,Sometimes,others,Rarely,No,1,No,0,4.0,3.0,Wide product selection,Nothing,443511,Regular Customer,1
2023/06/04 10:24:47 PM GMT+5:30,63,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Categories,First page,2.0,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,0,Sometimes,0,2.0,4.0,Wide product selection,Nothing,281062,Regular Customer,0
2023/06/07 10:44:42 PM GMT+5:30,51,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Categories,First page,2.0,No,Never,Found a better price elsewhere,Rarely,Yes,3,Yes,2,3.0,4.0,Customer service ,Nil,938062,Regular Customer,0
2023/06/08 3:26:38 AM GMT+5:30,32,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Rarely,Keyword,First page,4.0,Maybe,Often,others,Often,Yes,0,Yes,2,1.0,4.0,Wide product selection,Shipping speed and reliability,320530,Occasional Shopper,0
2023/06/11 10:42:48 PM GMT+5:30,40,Others,Once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,4.0,No,Always,others,Always,Yes,2,Yes,0,4.0,2.0,Wide product selection,Quality of product is very poor according to the big offers,560700,At-Risk Customer,1
2023/06/11 10:49:49 PM GMT+5:30,61,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,Others,First page,4.0,Yes,Sometimes,High shipping costs,Often,No,1,No,1,1.0,5.0,.,Product quality and accuracy,295549,Occasional Shopper,0
2023/06/11 11:05:38 PM GMT+5:30,29,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,First page,4.0,Yes,Never,Found a better price elsewhere,Sometimes,No,2,No,1,3.0,3.0,Quick delivery,No problems with Amazon,707529,Regular Customer,2
2023/06/07 3:13:52 PM GMT+5:30,3,Others,Once a week,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,3.0,Yes,Often,High shipping costs,Always,Yes,4,No,0,3.0,3.0,Customer service,Reducing packaging waste,707235,Regular Customer,2
2023/06/11 11:01:04 PM GMT+5:30,46,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,First page,5.0,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,4,No,2,1.0,2.0,Competitive prices,No problems with Amazon,706807,At-Risk Customer,2
2023/06/07 12:27:12 PM GMT+5:30,49,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Rarely,Keyword,First page,5.0,Maybe,Always,Found a better price elsewhere,Never,No,4,No,2,2.0,5.0,User-friendly website/app interface,Quality of product is very poor according to the big offers,152500,Occasional Shopper,0
2023/06/06 6:39:26 PM GMT+5:30,43,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,1.0,Maybe,Rarely,High shipping costs,Always,No,3,Yes,2,1.0,5.0,Quick delivery,Scrolling option would be much better than going to next page,818698,Regular Customer,0
2023/06/07 2:19:05 PM GMT+5:30,8,Female,Once a week,Home and Kitchen;others,No,Multiple times a day,Keyword,First page,2.0,No,Always,High shipping costs,Rarely,Yes,4,Yes,0,5.0,4.0,Quick delivery,Quality of product is very poor according to the big offers,112547,Frequent Buyer,1
2023/06/04 10:13:28 PM GMT+5:30,54,Male,Multiple times a week,Home and Kitchen,Sometimes,Few times a month,Filter,First page,3.0,Maybe,Always,High shipping costs,Never,No,2,Yes,0,1.0,2.0,Customer service ,.,183711,At-Risk Customer,2
2023/06/06 6:44:50 PM GMT+5:30,37,Prefer not to say,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,4.0,No,Sometimes,Found a better price elsewhere,Always,Yes,3,Sometimes,0,5.0,5.0,User-friendly website/app interface,Nothing,296464,Regular Customer,0
2023/06/05 12:37:54 AM GMT+5:30,12,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Others,Multiple pages,3.0,No,Always,others,Often,No,1,Sometimes,2,3.0,2.0,Competitive prices,Reducing packaging waste,367252,At-Risk Customer,1
2023/06/08 3:30:05 AM GMT+5:30,46,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a week,Filter,First page,4.0,No,Always,High shipping costs,Rarely,No,1,Sometimes,2,4.0,2.0,.,Shipping speed and reliability,821202,At-Risk Customer,1
2023/06/09 3:23:38 PM GMT+5:30,19,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Others,First page,1.0,No,Rarely,High shipping costs,Rarely,Yes,0,Yes,0,4.0,5.0,Customer service ,Customer service responsiveness,333209,Regular Customer,0
2023/06/06 7:54:19 PM GMT+5:30,59,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,5.0,No,Always,Found a better price elsewhere,Often,Yes,0,Sometimes,0,3.0,3.0,.,User interface ,209424,Regular Customer,2
2023/06/07 9:23:41 PM GMT+5:30,32,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,Multiple pages,5.0,No,Sometimes,High shipping costs,Rarely,Yes,0,Yes,2,5.0,4.0,Competitive prices,Add more familiar brands to the list,168965,Regular Customer,1
2023/06/08 5:24:42 PM GMT+5:30,42,Others,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Categories,Multiple pages,3.0,Yes,Rarely,Changed my mind or no longer need the item,Often,No,4,Sometimes,2,3.0,5.0,.,Shipping speed and reliability,852611,Frequent Buyer,0
2023/06/06 7:10:55 PM GMT+5:30,35,Prefer not to say,Once a month,Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,Multiple pages,2.0,No,Often,others,Never,Yes,3,No,1,2.0,3.0,.,I have no problem with Amazon yet. But others tell me about the refund issues ,243671,Occasional Shopper,2
